title,source,date,url,category,thumbnail
"World Cup 2026 Power Rankings, 30 days out: Who is No. 1?",ESPN,2026-05-12 07:00:00,https://news.google.com/rss/articles/CBMitwFBVV95cUxNTHVKS1VTVl95dF9ENGRONlY0RlBSM0lDWVp4ZnJpa3B5RHhxVkpueUhvNUh0VE5VbUxCbWZJVjVhYkRScnMydzJPcGpaNEFnZTBhdjBoV2V1R3Y3cDdkZFJqdndVVjVxZ0pKYnNXS2NmTXBINW9rQk5lVGNxYm52cXBxbllIRFdzbGMySko1bUlRTC1aMjA2M3ZkWHdlZlpiLWpJQnBQMFR1cXR0U0ZmQkJ6WS1nRDg?oc=5,injuries,
Qatar World Cup 2026 team guide,The Guardian,2026-06-01 10:15:00,https://news.google.com/rss/articles/CBMihwFBVV95cUxOYjFFZC1zNzU4NEF1SEZMbURpbFF2X1R1eTUzQkU2dkVRUkdrdktTZk0xbFRrdi1GMDljNmxiY0FENmk4amsyd1lkamJCQm9wVTZadWNVLWNVUFU1VEJZSUpSOFg4NW0wajExckJRRlpQaS1ua0o1SENKZnFjNl9Eai1jZnhOT0k?oc=5,other,
Czechia World Cup 2026 team guide,The Guardian,2026-05-27 07:00:00,https://news.google.com/rss/articles/CBMiigFBVV95cUxPZmlxLVY2YnNEdVVjU2JNY0t5MGdUM2tWb2hvMWwyME8yMFp0TFlkNnhBdWlLR2ZnVy05VEhUdVNUWjRETWhuWk9aUHZfb0ZfMmtIeURUQmJZb3FWMnJsUWhyX0w2WHFyZkRVRTN4aHVFSmlTdXkyMFY3UkxuZ1ZjS3otb2h4SGJfbGc?oc=5,other,
Hernandez: Mexico must start on the right foot,FIFA,2026-05-22 07:00:00,https://news.google.com/rss/articles/CBMidEFVX3lxTE5nT1k2cUFqYWZENnYzbXNrbFB6SjNQT0ZhVmhEWTl0dGpvSUFuQnNpMERVU1NjdzZvMWVfdEdTRFZ5bnl3dWZFZllOVGY0VENzYVU3OFdqdHVRanBFRlFKZ0FJMVdHTjV2WVU1TUJobW5xVXRB?oc=5,other,
What Germany’s soccer chief really thinks about this World Cup,Politico,2026-05-19 07:00:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxPdTE1Vm5sLWZ2dnVHa2UzZkVmdnhQd3RoNGZjakQ2RVdDMzBidmpVa00zbWw4eWRFM0pvOE50R2JTNy1wQnBxLXNmWWNsSlNyUmRHNXl5N2E4Q1Zwa1FLTGxUZlhnWmhIS200TlJzVTlaTmdsdFBYQzBCcWtWZC1Lczlad19HQlFRVmd4QWVHVlZVUjdSWWNJXzI3NFM?oc=5,injuries,
Fifa asks fans mistakenly issued free World Cup tickets to re-buy at full price,The Guardian,2026-06-05 15:03:00,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNUFBsem8tckVPanQ0dWsxSExndjdkdmh4Tm8xS3lHMjRNbGYwZ1lndUZfWklLUXlrVjB3aVZfVi11RWZBZC1GSXN1VVlObVNHNEJ6LUZ3Uks4TkcwZ0F4ZTF3cWJielNOSndqb3c0VmFJemJGY25FbWhTQXc1QTB0V2hURDh0d3po?oc=5,tickets,
Scouting The Match: USA vs. Germany In Final World Cup Tune-Up Friendly,FOX Sports,2026-06-05 19:11:25,https://news.google.com/rss/articles/CBMihwFBVV95cUxQQ2l0SGJUa0dLbVdrNDRSekZxQ2Vpd2dVSkt1NnNGeFhWLUxSUmVMVVhOREhhR25XMmJOdXE3NmtFTkEybTB5UGplbWE3ZVhJTC1uTExOYWJiNHB5cTBxS1dkbHhJYlM3a1ZPQ0xyR29zRmw4bHNwR0tzNWRoczJZaENRcDJTWUE?oc=5,match_reports,
"World Cup 2026 opening ceremonies: Date, time, who's performing and more",NBC Los Angeles,2026-06-05 12:51:02,https://news.google.com/rss/articles/CBMipgFBVV95cUxQMFdtQnJKMlFQSm4yblB4aUY5NGYyR0hpWV8xVnZvampINGdnUHJEZDU3alV6eTVTcHpOM2U5WlRwOHNLODY1V0JVU0xMUVctNVd5N3ZWaklDbl9FQ3B1b05ZTm1pRVdPUEduRFVFYmdzSDR6RWVjQ2liLXBoNF9ZYUgtR01MbmRrSEVCMXdRVDhpekhNM2J1Xzg2dVVPUUVPMmhDMXV30gGuAUFVX3lxTE1KdnQ5Z1JiQlpjQ1JpUVNvdXhKNXhaZ0IxUDhTUV9lRE9aekVjMl9BSG5WUkprQi1hV2dZZW9WaGdaYUl1NUotY3dmeTZGb1hvb3YxYUNFUTZTWS0xNVFUMWlZRW16c1J0dk9SX2ZlS21mVGlyY2VybzhKRzVjV1FwMTBMcUlCRi1XbGhWSGl2Smd5d3pfLWZxSXFpYi0xRnNmUjNaVzNGdVhGVWctQQ?oc=5,other,
The World Cup of Ugh,The Atlantic,2026-06-04 20:42:00,https://news.google.com/rss/articles/CBMifkFVX3lxTE1BUkRrQ3RIcjJRX3VCa0dDaEEwODNWVDFXZWxiaHQ1dGwtWDJFdkIyNThJZjBPOV95UmszVUYtZ3hlbllSSFp2Yk5qczRudHQ3M3NZN0ltX0h6SU1SQkxYNHZCVWs3ZzFSTHhmN25UaFAtWU1EOFpLUEdzdjdpUQ?oc=5,other,
SoFi Stadium workers authorize strike ahead of 2026 FIFA World Cup in Los Angeles,CBS News,2026-06-06 03:39:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxPUVJqb2dLZUlvMzhSb0xIRGZyRHMtbUJNWkhaYWZ2MXpKU2YtbGNidTZabWpwQ2NJcm1ONTVBWm9QcThYTzBtT3VmYTBoLTBCY0xhWTV6TDlrbjhRc1J1dkZweXJpdTBRa2RKU2tldG1ZSW1haDd5NkJCYXItUDRwQVlta0l2THJQVjlPVFo4al90UFBHblhKUFdNb3o2RlZu?oc=5,venues,
